query,classical_time,classical_similarity,classical_diversity,quantum_time,quantum_similarity,quantum_diversity,overlap,speedup,score_improvement_pct
What are the best practices for organic farming?,0.016200780868530273,0.44940189170855593,1.0,0.008128166198730469,0.621445917397895,1.0,0.6,1.9931655520356681,38.282888626760005
How can I improve soil fertility?,0.012176275253295898,0.37374114950960713,0.6,0.007993936538696289,0.6190010755466656,0.6,0.8,1.523188881266963,65.62293885992182
What are the main crops produced globally?,0.0056955814361572266,0.44478660480902227,0.8,0.00951385498046875,0.6936258607020906,0.8,0.6,0.5986617882919005,55.94576212561804
How does climate change affect agriculture?,0.006219387054443359,0.46249349021235575,1.0,0.010182619094848633,0.6813800840512864,0.8,0.8,0.6107846121426397,47.32749724508078
What is sustainable agriculture?,0.008077144622802734,0.6030729553324423,1.0,0.007918119430541992,0.7371296611161491,1.0,1.0,1.020083707205444,22.228936747761864
How does irrigation impact crop yields?,0.006498098373413086,0.39780186734018996,0.8,0.008276700973510742,0.6684729987433323,1.0,0.4,0.7851073023188824,68.04169452821381
What are the benefits of crop rotation?,0.006150960922241211,0.45955629778591633,0.6,0.008455514907836914,0.6782944960570317,0.6,1.0,0.7274495981954039,47.59769354156785
How can farmers adapt to water scarcity?,0.005774974822998047,0.44341892651541254,1.0,0.00745844841003418,0.6595132070820573,1.0,0.0,0.7742863536105872,48.733661926614595
What role does livestock play in agriculture?,0.0056307315826416016,0.5520025752409208,0.8,0.0073316097259521484,0.7477091105613131,1.0,0.6,0.7680075444700986,35.453917082719485
How can precision agriculture improve farming efficiency?,0.005785465240478516,0.47504225492652913,1.0,0.00720977783203125,0.6676820480519068,1.0,0.6,0.8024470899470899,40.55213849453701
